Decade,Year,Winner,State
1880-1889,1880,A Keating,NSW
1880-1889,1881,Sgt Furnish,NSW
1880-1889,1882,Capt Linsley,NSW
1880-1889,1883,A Keating,NSW
1880-1889,1884,Pr McLean,NSW
1880-1889,1885,Cpl Fraser,NSW
1880-1889,1886,W Ingall,NSW
1880-1889,1887,A Keating,NSW
1880-1889,1888,A Grant,NSW
1880-1889,1889,A Keating,NSW
1880-1889,1880,NA,VIC
1880-1889,1881,J Hanby,VIC
1880-1889,1882,W Oldershaw,VIC
1880-1889,1883,T Churchill,VIC
1880-1889,1884,W Thirkettle,VIC
1880-1889,1885,J Christopherson,VIC
1880-1889,1886,W Hicks,VIC
1880-1889,1887,A Taylor,VIC
1880-1889,1888,S Bunting,VIC
1880-1889,1889,F Logan,VIC
1880-1889,1880,R Rogers,QLD
1880-1889,1881,W Barron,QLD
1880-1889,1882,A Thynne,QLD
1880-1889,1883,T Grimes,QLD
1880-1889,1884,A Thynne,QLD
1880-1889,1885,Creeth,QLD
1880-1889,1886,C Fryer,QLD
1880-1889,1887,George,QLD
1880-1889,1888,J Stirling,QLD
1880-1889,1889,T Grimes,QLD
1880-1889,1880,NA,TAS
1880-1889,1881,NA,TAS
1880-1889,1882,NA,TAS
1880-1889,1883,NA,TAS
1880-1889,1884,NA,TAS
1880-1889,1885,NA,TAS
1880-1889,1886,NA,TAS
1880-1889,1887,Welsh,TAS
1880-1889,1888,W Hunt,TAS
1880-1889,1889,NA,TAS
1880-1889,1880,Pte Forrester,SA
1880-1889,1881,Pte Paton,SA
1880-1889,1882,Pte G Williams,SA
1880-1889,1883,Pte AR Addison,SA
1880-1889,1884,Pte WH Miller,SA
1880-1889,1885,E Marsson,SA
1880-1889,1886,Cpl Lindeloff,SA
1880-1889,1887,Lt A Robertson,SA
1880-1889,1888,Pte A Webster,SA
1880-1889,1889,Pte Crittenden,SA
1880-1889,1880,NA,WA
1880-1889,1881,NA,WA
1880-1889,1882,NA,WA
1880-1889,1883,NA,WA
1880-1889,1884,NA,WA
1880-1889,1885,NA,WA
1880-1889,1886,NA,WA
1880-1889,1887,NA,WA
1880-1889,1888,NA,WA
1880-1889,1889,NA,WA
1880-1889,1880,NA,NQ
1880-1889,1881,NA,NQ
1880-1889,1882,NA,NQ
1880-1889,1883,NA,NQ
1880-1889,1884,NA,NQ
1880-1889,1885,NA,NQ
1880-1889,1886,NA,NQ
1880-1889,1887,NA,NQ
1880-1889,1888,NA,NQ
1880-1889,1889,NA,NQ
1880-1889,1880,NA,NT
1880-1889,1881,NA,NT
1880-1889,1882,NA,NT
1880-1889,1883,NA,NT
1880-1889,1884,NA,NT
1880-1889,1885,NA,NT
1880-1889,1886,NA,NT
1880-1889,1887,NA,NT
1880-1889,1888,NA,NT
1880-1889,1889,NA,NT
1880-1889,1880,NA,BISLEY
1880-1889,1881,NA,BISLEY
1880-1889,1882,NA,BISLEY
1880-1889,1883,NA,BISLEY
1880-1889,1884,NA,BISLEY
1880-1889,1885,NA,BISLEY
1880-1889,1886,NA,BISLEY
1880-1889,1887,NA,BISLEY
1880-1889,1888,NA,BISLEY
1880-1889,1889,NA,BISLEY
1890-1899,1890,NA,NSW
1890-1899,1891,W Bradford,NSW
1890-1899,1892,J Hawker,NSW
